year,word,frequency
1882,cicada,0.432142
1883,cicada,0.493229
1884,cicada,0.540771
1885,cicada,0.56174
1886,cicada,0.557161
1887,cicada,0.543916
1888,cicada,0.539827
1889,cicada,0.546432
1890,cicada,0.549634
1891,cicada,0.54037
1892,cicada,0.526058
1893,cicada,0.531904
1894,cicada,0.580489
1895,cicada,0.672345
1896,cicada,0.778051
1897,cicada,0.849109
1898,cicada,0.851507
1899,cicada,0.792647
1900,cicada,0.712208
1901,cicada,0.647903
1902,cicada,0.608474
1903,cicada,0.586282
1904,cicada,0.575626
1905,cicada,0.577697
1906,cicada,0.584457
1907,cicada,0.577865
1908,cicada,0.549544
1909,cicada,0.511786
1910,cicada,0.482974
1911,cicada,0.466597
1912,cicada,0.452796
1913,cicada,0.434581
1914,cicada,0.414175
1915,cicada,0.399375
1916,cicada,0.393616
1917,cicada,0.39858
1918,cicada,0.412572
1919,cicada,0.430788
1920,cicada,0.445439
1921,cicada,0.450673
1922,cicada,0.446551
1923,cicada,0.439724
1924,cicada,0.437448
1925,cicada,0.443953
1926,cicada,0.457749
1927,cicada,0.472144
1928,cicada,0.478077
1929,cicada,0.46919
1930,cicada,0.446855
1931,cicada,0.420911
1932,cicada,0.402392
1933,cicada,0.396397
1934,cicada,0.39994
1935,cicada,0.405622
1936,cicada,0.406938
1937,cicada,0.402185
1938,cicada,0.396589
1939,cicada,0.398221
1940,cicada,0.409605
1941,cicada,0.426215
1942,cicada,0.440665
1943,cicada,0.448253
1944,cicada,0.4458
1945,cicada,0.429535
1946,cicada,0.400128
1947,cicada,0.367308
1948,cicada,0.343974
1949,cicada,0.335466
1950,cicada,0.339307
1951,cicada,0.348837
1952,cicada,0.358303
1953,cicada,0.36352
1954,cicada,0.361928
1955,cicada,0.355716
1956,cicada,0.350589
1957,cicada,0.351089
1958,cicada,0.358707
1959,cicada,0.372032
1960,cicada,0.388526
1961,cicada,0.403786
1962,cicada,0.411394
1963,cicada,0.405453
1964,cicada,0.385935
1965,cicada,0.358513
1966,cicada,0.330874
1967,cicada,0.30826
1968,cicada,0.292322
1969,cicada,0.282429
1970,cicada,0.278007
1971,cicada,0.277728
1972,cicada,0.280035
1973,cicada,0.282999
1974,cicada,0.285339
1975,cicada,0.286895
1976,cicada,0.288009
1977,cicada,0.288662
1978,cicada,0.288791
1979,cicada,0.288867
1980,cicada,0.289671
1981,cicada,0.291605
1982,cicada,0.29448
1983,cicada,0.298137
1984,cicada,0.303231
1985,cicada,0.310783
1986,cicada,0.321173
1987,cicada,0.333677
1988,cicada,0.346604
1989,cicada,0.358201
1990,cicada,0.367021
1991,cicada,0.372092
1992,cicada,0.373286
1993,cicada,0.371904
1994,cicada,0.370627
1995,cicada,0.372823
1996,cicada,0.380857
1997,cicada,0.394105
1998,cicada,0.408982
1999,cicada,0.421043
2000,cicada,0.428256
2001,cicada,0.432544
2002,cicada,0.437265
2003,cicada,0.44372
2004,cicada,0.449964
2005,cicada,0.453359
2006,cicada,0.453997
2007,cicada,0.45543
2008,cicada,0.461182
2009,cicada,0.472381
2010,cicada,0.487306
2011,cicada,0.502953
2012,cicada,0.515953
2013,cicada,0.52339
2014,cicada,0.524252
2015,cicada,0.522277
2016,cicada,0.525407
2017,cicada,0.541605
2018,cicada,0.572934
2019,cicada,0.612895
